Condigo da Loja;Função DRE;Resultado DRE
01100103;Receitas;2674,86
01100103;Impostos;-189,75
01100103;Custo;-1621,76
01100103;Despesa;-582,15
01100103;Resultado Financeiro;229,95
01100103;Provisão/Perda;-379,12
01100103;PPR;-95,13
01100103;IR/CSLL;-10,23
01100112;Receitas;4098,32
01100112;Impostos;-290,73
01100112;Custo;-2780,34
01100112;Despesa;-595,66
01100112;Resultado Financeiro;235,28
01100112;Provisão/Perda;-387,24
01100112;PPR;-97,28
01100112;IR/CSLL;-50,58
01100113;Receitas;2453,98
01100113;Impostos;-174,08
01100113;Custo;-1254,81
01100113;Despesa;-587,92
01100113;Resultado Financeiro;232,22
01100113;Provisão/Perda;-382,59
01100113;PPR;-93,74
01100113;IR/CSLL;-53,55
01100117;Receitas;4511,63
01100117;Impostos;-320,05
01100117;Custo;-2985,47
01100117;Despesa;-1224,27
01100117;Resultado Financeiro;483,57
01100117;Provisão/Perda;-765,01
01100117;PPR;-197,96
01100117;IR/CSLL;0,00
01100118;Receitas;0,00
01100118;Impostos;0,00
01100118;Custo;-14,20
01100118;IR/CSLL;0,00
01100119;Receitas;0,00
01100119;Custo;-5,42
01100119;IR/CSLL;0,00
01100149;Receitas;9392,35
01100149;Impostos;-666,27
01100149;Custo;-4968,95
01100149;Despesa;-797,54
01100149;Resultado Financeiro;315,02
01100149;Provisão/Perda;-486,89
01100149;PPR;-132,58
01100149;IR/CSLL;-736,40
01100152;Receitas;6011,40
01100152;Impostos;-426,44
01100152;Custo;-1853,69
01100152;Despesa;-990,01
01100152;Resultado Financeiro;391,04
01100152;Provisão/Perda;-602,56
01100152;PPR;-157,52
01100152;IR/CSLL;-657,95
01100153;Receitas;6012,15
01100153;Impostos;-426,49
01100153;Custo;-1814,73
01100153;Despesa;-990,01
01100153;Resultado Financeiro;391,04
01100153;Provisão/Perda;-602,56
01100153;PPR;-157,03
01100153;IR/CSLL;-669,08
01100156;Receitas;5961,29
01100156;Impostos;-422,88
01100156;Custo;-1658,77
01100156;Despesa;-1024,83
01100156;Resultado Financeiro;404,80
01100156;Provisão/Perda;-623,48
01100156;PPR;-163,04
01100156;IR/CSLL;-685,91
01200007;Receitas;5596,51
01200007;Impostos;-397,01
01200007;Custo;-4404,30
01200007;Despesa;-589,62
01200007;Resultado Financeiro;232,89
01200007;Provisão/Perda;-383,61
01200007;PPR;-97,29
01200007;IR/CSLL;0,00
01300007;Receitas;4329,00
01300007;Impostos;-307,09
01300007;Custo;-2903,29
01300007;Despesa;-618,37
01300007;Resultado Financeiro;244,25
01300007;Provisão/Perda;-400,88
01300007;PPR;-101,37
01300007;IR/CSLL;-67,19
01400002;Receitas;6937,99
01400002;Impostos;-492,17
01400002;Custo;-3975,98
01400002;Despesa;-575,30
01400002;Resultado Financeiro;227,24
01400002;Provisão/Perda;-375,00
01400002;PPR;-96,49
01400002;IR/CSLL;-457,71
01400004;Custo;-16,18
01400004;IR/CSLL;0,00
01400005;Receitas;4520,26
01400005;Impostos;-320,66
01400005;Custo;-2177,56
01400005;Despesa;-594,08
01400005;Resultado Financeiro;234,66
01400005;Provisão/Perda;-386,29
01400005;PPR;-97,02
01400005;IR/CSLL;-327,08
01600009;Receitas;4002,78
01600009;Impostos;-283,95
01600009;Custo;-4456,92
01600009;Despesa;-584,12
01600009;Resultado Financeiro;230,72
01600009;Provisão/Perda;-380,30
01600009;PPR;-97,89
01600009;IR/CSLL;0,00
01600010;Receitas;2498,02
01600010;Impostos;-177,20
01600010;Custo;-7210,25
01600010;Despesa;-603,32
01600010;Resultado Financeiro;238,30
01600010;Provisão/Perda;-391,84
01600010;PPR;-100,09
01600010;IR/CSLL;0,00
01600011;Receitas;4785,23
01600011;Impostos;-339,45
01600011;Custo;-3787,11
01600011;Despesa;-597,46
01600011;Resultado Financeiro;235,99
01600011;Provisão/Perda;-388,32
01600011;PPR;-102,31
01600011;IR/CSLL;0,00
01600012;Receitas;4703,59
01600012;Impostos;-333,66
01600012;Custo;-3471,86
01600012;Despesa;-584,63
01600012;Resultado Financeiro;230,93
01600012;Provisão/Perda;-380,61
01600012;PPR;-96,01
01600012;IR/CSLL;-18,78
01700002;Receitas;3355,74
01700002;Impostos;-238,05
01700002;Custo;-3131,96
01700002;Despesa;-594,32
01700002;Resultado Financeiro;234,75
01700002;Provisão/Perda;-386,43
01700002;PPR;-95,73
01700002;IR/CSLL;0,00
01700003;Receitas;4766,92
01700003;Impostos;-338,16
01700003;Custo;-3562,59
01700003;Despesa;-589,90
01700003;Resultado Financeiro;233,00
01700003;Provisão/Perda;-383,77
01700003;PPR;-100,13
01700003;IR/CSLL;-7,04
01700004;Receitas;4271,44
01700004;Impostos;-303,01
01700004;Custo;-4842,68
01700004;Despesa;-632,34
01700004;Resultado Financeiro;249,77
01700004;Provisão/Perda;-409,28
01700004;PPR;-106,87
01700004;IR/CSLL;0,00
01700006;Receitas;173,33
01700006;Impostos;-12,30
01700006;Custo;-2549,24
01700006;Despesa;-1013,93
01700006;Resultado Financeiro;400,49
01700006;Provisão/Perda;-612,21
01700006;PPR;-193,24
01700006;IR/CSLL;0,00
01700007;Receitas;173,33
01700007;Impostos;-12,30
01700007;Custo;-2549,24
01700007;Despesa;-1013,93
01700007;Resultado Financeiro;400,49
01700007;Provisão/Perda;-612,21
01700007;PPR;-193,24
01700007;IR/CSLL;0,00
01800003;Receitas;6113,76
01800003;Impostos;-433,70
01800003;Custo;-2826,02
01800003;Despesa;-584,53
01800003;Resultado Financeiro;230,88
01800003;Provisão/Perda;-414,21
01800003;PPR;-95,02
01800003;IR/CSLL;-552,25
01800005;Receitas;4807,32
01800005;Impostos;-341,02
01800005;Custo;-3087,73
01800005;Despesa;-589,90
01800005;Resultado Financeiro;233,00
01800005;Provisão/Perda;-383,77
01800005;PPR;-95,87
01800005;IR/CSLL;-150,33
01800006;Receitas;6685,06
01800006;Impostos;-474,23
01800006;Custo;-5449,18
01800006;Despesa;-1009,54
01800006;Resultado Financeiro;398,76
01800006;Provisão/Perda;-614,29
01800006;PPR;-162,43
01800006;IR/CSLL;0,00
01900018;Receitas;2476,98
01900018;Impostos;-175,71
01900018;Custo;-1327,81
01900018;Despesa;-611,19
01900018;Resultado Financeiro;241,41
01900018;Provisão/Perda;-396,57
01900018;PPR;-97,43
01900018;IR/CSLL;-30,42
01900020;Receitas;9532,70
01900020;Impostos;-676,23
01900020;Custo;-6730,72
01900020;Despesa;-589,78
01900020;Resultado Financeiro;232,96
01900020;Provisão/Perda;-383,70
01900020;PPR;-114,98
01900020;IR/CSLL;-352,30
02100012;Receitas;9879,55
02100012;Impostos;-700,84
02100012;Custo;-6291,66
02100012;Despesa;-840,50
02100012;Resultado Financeiro;331,99
02100012;Provisão/Perda;-512,70
02100012;PPR;-147,92
02100012;IR/CSLL;-476,47
02100013;Receitas;8270,44
02100013;Impostos;-586,69
02100013;Custo;-3295,24
02100013;Despesa;-840,00
02100013;Resultado Financeiro;331,79
02100013;Provisão/Perda;-512,41
02100013;PPR;-139,80
02100013;IR/CSLL;-895,32
02100014;Receitas;8028,30
02100014;Impostos;-569,51
02100014;Custo;-3101,88
02100014;Despesa;-854,02
02100014;Resultado Financeiro;337,33
02100014;Provisão/Perda;-520,83
02100014;PPR;-141,18
02100014;IR/CSLL;-881,48
02100015;Receitas;9616,38
02100015;Impostos;-682,17
02100015;Custo;-4717,03
02100015;Despesa;-885,91
02100015;Resultado Financeiro;349,92
02100015;Provisão/Perda;-539,99
02100015;PPR;-149,88
02100015;IR/CSLL;-829,65
02100016;Receitas;10235,47
02100016;Impostos;-726,08
02100016;Custo;-6060,41
02100016;Despesa;-852,59
02100016;Resultado Financeiro;336,77
02100016;Provisão/Perda;-519,97
02100016;PPR;-145,44
02100016;IR/CSLL;-628,96
02100017;Receitas;10000,00
02100017;Impostos;-709,38
02100017;Custo;-5359,08
02100017;Despesa;-847,84
02100017;Resultado Financeiro;334,89
02100017;Provisão/Perda;-517,12
02100017;PPR;-143,84
02100017;IR/CSLL;-764,83
02100018;Receitas;5977,80
02100018;Impostos;-424,05
02100018;Custo;-3391,52
02100018;Despesa;-873,40
02100018;Resultado Financeiro;344,98
02100018;Provisão/Perda;-554,15
02100018;PPR;-143,90
02100018;IR/CSLL;-259,54
02100084;Receitas;5986,07
02100084;Impostos;-424,64
02100084;Custo;-2996,56
02100084;Despesa;-1210,26
02100084;Resultado Financeiro;478,04
02100084;Provisão/Perda;-734,92
02100084;PPR;-197,20
02100084;IR/CSLL;-249,77
02100085;Receitas;7556,01
02100085;Impostos;-536,01
02100085;Custo;-2792,92
02100085;Despesa;-1230,28
02100085;Resultado Financeiro;485,95
02100085;Provisão/Perda;-768,62
02100085;PPR;-203,66
02100085;IR/CSLL;-696,28
02100089;Receitas;6014,93
02100089;Impostos;-426,69
02100089;Custo;-2821,23
02100089;Despesa;-896,85
02100089;Resultado Financeiro;354,25
02100089;Provisão/Perda;-546,57
02100089;PPR;-145,67
02100089;IR/CSLL;-424,95
02100090;Receitas;5975,75
02100090;Impostos;-423,91
02100090;Custo;-1477,24
02100090;Despesa;-817,77
02100090;Resultado Financeiro;323,01
02100090;Provisão/Perda;-554,38
02100090;PPR;-129,71
02100090;IR/CSLL;-803,14
02200002;Receitas;9133,51
02200002;Impostos;-647,91
02200002;Custo;-4939,02
02200002;Despesa;-835,49
02200002;Resultado Financeiro;330,01
02200002;Provisão/Perda;-509,70
02200002;PPR;-139,58
02200002;IR/CSLL;-663,38
02200003;Receitas;6653,15
02200003;Impostos;-471,96
02200003;Custo;-1811,59
02200003;Despesa;-783,88
02200003;Resultado Financeiro;309,62
02200003;Provisão/Perda;-478,68
02200003;PPR;-125,31
02200003;IR/CSLL;-912,87
02200004;Receitas;7226,57
02200004;Impostos;-512,64
02200004;Custo;-8183,29
02200004;Despesa;-625,35
02200004;Resultado Financeiro;247,01
02200004;Provisão/Perda;-378,69
02200004;PPR;-136,49
02200004;IR/CSLL;0,00
02200005;Receitas;3513,53
02200005;Impostos;-249,24
02200005;Custo;-2400,34
02200005;Despesa;-1139,27
02200005;Resultado Financeiro;450,00
02200005;Provisão/Perda;-692,25
02200005;PPR;-183,14
02200005;IR/CSLL;0,00
02200006;Receitas;9691,02
02200006;Impostos;-687,46
02200006;Custo;-8399,15
02200006;Despesa;-965,95
02200006;Resultado Financeiro;381,54
02200006;Provisão/Perda;-588,10
02200006;PPR;-161,73
02200006;IR/CSLL;0,00
02200007;Receitas;8513,01
02200007;Impostos;-603,90
02200007;Custo;-5710,99
02200007;Despesa;-987,84
02200007;Resultado Financeiro;390,19
02200007;Provisão/Perda;-601,25
02200007;PPR;-161,30
02200007;IR/CSLL;-232,40
02200008;Receitas;5996,43
02200008;Impostos;-425,38
02200008;Custo;-1753,91
02200008;Despesa;-1026,47
02200008;Resultado Financeiro;405,45
02200008;Provisão/Perda;-624,47
02200008;PPR;-163,79
02200008;IR/CSLL;-667,83
02400001;Receitas;11238,57
02400001;Impostos;-797,24
02400001;Custo;-8157,76
02400001;Despesa;-806,03
02400001;Resultado Financeiro;318,37
02400001;Provisão/Perda;-491,99
02400001;PPR;-141,83
02400001;IR/CSLL;-322,31
02400002;Receitas;7103,24
02400002;Impostos;-503,89
02400002;Custo;-2727,95
02400002;Despesa;-1095,02
02400002;Resultado Financeiro;432,52
02400002;Provisão/Perda;-687,33
02400002;PPR;-177,94
02400002;IR/CSLL;-650,01
02400003;Receitas;6057,63
02400003;Impostos;-429,72
02400003;Custo;-4119,57
02400003;Despesa;-1138,81
02400003;Resultado Financeiro;449,82
02400003;Provisão/Perda;-691,98
02400003;PPR;-185,02
02400003;IR/CSLL;0,00
02400004;Receitas;6205,29
02400004;Impostos;-440,19
02400004;Custo;-1924,51
02400004;Despesa;-1144,67
02400004;Resultado Financeiro;452,13
02400004;Provisão/Perda;-695,50
02400004;PPR;-182,05
02400004;IR/CSLL;-629,73
02400005;Receitas;8267,35
02400005;Impostos;-586,47
02400005;Custo;-3725,22
02400005;Despesa;-1023,74
02400005;Resultado Financeiro;404,37
02400005;Provisão/Perda;-678,16
02400005;PPR;-168,46
02400005;IR/CSLL;-690,51
02400006;Receitas;7499,69
02400006;Impostos;-532,01
02400006;Custo;-2787,02
02400006;Despesa;-1186,76
02400006;Resultado Financeiro;468,76
02400006;Provisão/Perda;-720,79
02400006;PPR;-196,76
02400006;IR/CSLL;-705,89
02400007;Receitas;7952,81
02400007;Impostos;-564,16
02400007;Custo;-4167,89
02400007;Despesa;-1048,46
02400007;Resultado Financeiro;414,10
02400007;Provisão/Perda;-637,63
02400007;PPR;-175,64
02400007;IR/CSLL;-491,78
02700002;Receitas;3609,19
02700002;Impostos;-256,03
02700002;Custo;-3564,13
02700002;Despesa;-864,03
02700002;Resultado Financeiro;341,10
02700002;Provisão/Perda;-548,24
02700002;PPR;-153,20
02700002;IR/CSLL;0,00
02700004;Receitas;4310,58
02700004;Impostos;-305,78
02700004;Custo;-3139,79
02700004;Despesa;-863,65
02700004;Resultado Financeiro;341,10
02700004;Provisão/Perda;-526,57
02700004;PPR;-144,86
02700004;IR/CSLL;0,00
02700005;Receitas;5847,19
02700005;Impostos;-414,79
02700005;Custo;-4380,15
02700005;Despesa;-794,72
02700005;Resultado Financeiro;313,83
02700005;Provisão/Perda;-506,75
02700005;PPR;-137,67
02700005;IR/CSLL;0,00
02700010;Receitas;14267,53
02700010;Impostos;-1012,11
02700010;Custo;-3212,56
02700010;Despesa;-805,49
02700010;Resultado Financeiro;318,12
02700010;Provisão/Perda;-546,94
02700010;PPR;-136,61
02700010;IR/CSLL;-2460,65
02700011;Receitas;7404,44
02700011;Impostos;-525,26
02700011;Custo;-3540,06
02700011;Despesa;-848,13
02700011;Resultado Financeiro;335,00
02700011;Provisão/Perda;-538,96
02700011;PPR;-134,52
02700011;IR/CSLL;-597,00
02700012;Receitas;4533,03
02700012;Impostos;-321,56
02700012;Custo;-2698,68
02700012;Despesa;-895,52
02700012;Resultado Financeiro;353,72
02700012;Provisão/Perda;-567,44
02700012;PPR;-142,04
02700012;IR/CSLL;-72,53
02700013;Receitas;5398,37
02700013;Impostos;-382,95
02700013;Custo;-3531,05
02700013;Despesa;-829,00
02700013;Resultado Financeiro;327,41
02700013;Provisão/Perda;-527,41
02700013;PPR;-146,55
02700013;IR/CSLL;-85,65
02700014;Receitas;7018,28
02700014;Impostos;-497,86
02700014;Custo;-2265,62
02700014;Despesa;-781,04
02700014;Resultado Financeiro;308,47
02700014;Provisão/Perda;-498,59
02700014;PPR;-129,45
02700014;IR/CSLL;-874,82
02700015;Receitas;4958,74
02700015;Impostos;-351,76
02700015;Custo;-2729,93
02700015;Despesa;-796,53
02700015;Resultado Financeiro;314,51
02700015;Provisão/Perda;-507,78
02700015;PPR;-137,44
02700015;IR/CSLL;-207,96
02700017;Receitas;8291,17
02700017;Impostos;-588,16
02700017;Custo;-3623,62
02700017;Despesa;-795,93
02700017;Resultado Financeiro;314,39
02700017;Provisão/Perda;-507,59
02700017;PPR;-131,35
02700017;IR/CSLL;-820,66
02700019;Receitas;5432,22
02700019;Impostos;-385,35
02700019;Custo;-2682,82
02700019;Despesa;-870,06
02700019;Resultado Financeiro;343,66
02700019;Provisão/Perda;-824,28
02700019;PPR;-140,31
02700019;IR/CSLL;-242,15
02700021;Provisão/Perda;-602,72
02700021;IR/CSLL;0,00
02700022;Receitas;7620,62
02700022;Impostos;-540,59
02700022;Custo;-3065,00
02700022;Despesa;-869,65
02700022;Resultado Financeiro;343,47
02700022;Provisão/Perda;-551,84
02700022;PPR;-141,19
02700022;IR/CSLL;-775,42
02700023;Receitas;10512,00
02700023;Impostos;-745,70
02700023;Custo;-6253,03
02700023;Despesa;-819,67
02700023;Resultado Financeiro;323,69
02700023;Provisão/Perda;-521,75
02700023;PPR;-147,35
02700023;IR/CSLL;-651,27
02700027;Receitas;4739,78
02700027;Impostos;-336,23
02700027;Custo;-2084,54
02700027;Despesa;-833,11
02700027;Resultado Financeiro;329,03
02700027;Provisão/Perda;-529,88
02700027;PPR;-137,71
02700027;IR/CSLL;-318,22
02700028;Receitas;13264,00
02700028;Impostos;-940,92
02700028;Custo;-3587,48
02700028;Despesa;-917,67
02700028;Resultado Financeiro;362,47
02700028;Provisão/Perda;-580,75
02700028;PPR;-149,81
02700028;IR/CSLL;-2066,22
02700036;Receitas;4537,18
02700036;Impostos;-321,86
02700036;Custo;-2659,85
02700036;Despesa;-922,25
02700036;Resultado Financeiro;364,17
02700036;Provisão/Perda;-561,67
02700036;PPR;-157,87
02700036;IR/CSLL;-77,06
02700037;Receitas;14071,10
02700037;Impostos;-998,18
02700037;Custo;-3229,16
02700037;Despesa;-911,77
02700037;Resultado Financeiro;360,14
02700037;Provisão/Perda;-577,21
02700037;PPR;-147,41
02700037;IR/CSLL;-2376,21
02700038;Receitas;13489,20
02700038;Impostos;-956,90
02700038;Custo;-3084,58
02700038;Despesa;-912,05
02700038;Resultado Financeiro;360,14
02700038;Provisão/Perda;-555,54
02700038;PPR;-155,76
02700038;IR/CSLL;-2269,99
02700039;Receitas;5003,36
02700039;Impostos;-354,93
02700039;Custo;-2499,64
02700039;Despesa;-911,77
02700039;Resultado Financeiro;360,14
02700039;Provisão/Perda;-577,21
02700039;PPR;-146,93
02700039;IR/CSLL;-242,13
02700040;Receitas;4900,67
02700040;Impostos;-347,64
02700040;Custo;-4533,25
02700040;Despesa;-910,70
02700040;Resultado Financeiro;359,61
02700040;Provisão/Perda;-554,72
02700040;PPR;-157,50
02700040;IR/CSLL;0,00
02700044;Receitas;4657,89
02700044;Impostos;-330,42
02700044;Custo;-3129,75
02700044;Despesa;-924,21
02700044;Resultado Financeiro;365,05
02700044;Provisão/Perda;-563,01
02700044;PPR;-146,59
02700044;IR/CSLL;0,00
02700047;Receitas;6994,46
02700047;Impostos;-496,17
02700047;Custo;-2681,29
02700047;Despesa;-925,66
02700047;Resultado Financeiro;365,63
02700047;Provisão/Perda;-585,55
02700047;PPR;-149,62
02700047;IR/CSLL;-699,42
02700049;Receitas;8718,64
02700049;Impostos;-618,48
02700049;Custo;-3240,26
02700049;Despesa;-884,86
02700049;Resultado Financeiro;349,44
02700049;Provisão/Perda;-560,92
02700049;PPR;-148,20
02700049;IR/CSLL;-1002,73
02700050;Receitas;6072,15
02700050;Impostos;-430,75
02700050;Custo;-3342,65
02700050;Despesa;-925,75
02700050;Resultado Financeiro;365,63
02700050;Provisão/Perda;-563,88
02700050;PPR;-155,20
02700050;IR/CSLL;-282,77
02700051;Receitas;9056,32
02700051;Impostos;-642,44
02700051;Custo;-4593,44
02700051;Despesa;-910,94
02700051;Resultado Financeiro;359,74
02700051;Provisão/Perda;-554,93
02700051;PPR;-152,82
02700051;IR/CSLL;-710,44
02700053;Receitas;6615,61
02700053;Impostos;-469,30
02700053;Custo;-3353,59
02700053;Despesa;-917,91
02700053;Resultado Financeiro;362,46
02700053;Provisão/Perda;-580,73
02700053;PPR;-153,90
02700053;IR/CSLL;-416,76
02700055;Receitas;6430,47
02700055;Impostos;-456,16
02700055;Custo;-3387,95
02700055;Despesa;-925,75
02700055;Resultado Financeiro;365,63
02700055;Provisão/Perda;-585,55
02700055;PPR;-152,89
02700055;IR/CSLL;-357,17
02700056;Receitas;11689,35
02700056;Impostos;-829,22
02700056;Custo;-7350,98
02700056;Despesa;-910,94
02700056;Resultado Financeiro;359,74
02700056;Provisão/Perda;-554,93
02700056;PPR;-154,77
02700056;IR/CSLL;-623,56
02700057;Receitas;4519,17
02700057;Impostos;-320,58
02700057;Custo;-2242,38
02700057;Despesa;-911,03
02700057;Resultado Financeiro;359,74
02700057;Provisão/Perda;-576,60
02700057;PPR;-155,60
02700057;IR/CSLL;-186,58
02700060;Receitas;3277,22
02700060;Impostos;-232,48
02700060;Custo;-4994,38
02700060;Despesa;-843,52
02700060;Resultado Financeiro;333,07
02700060;Provisão/Perda;-514,36
02700060;PPR;-148,67
02700060;IR/CSLL;0,00
02700062;Receitas;9161,15
02700062;Impostos;-649,87
02700062;Custo;-3266,91
02700062;Despesa;-911,03
02700062;Resultado Financeiro;359,74
02700062;Provisão/Perda;-576,60
02700062;PPR;-154,27
02700062;IR/CSLL;-1098,92
02700063;Receitas;5595,41
02700063;Impostos;-396,93
02700063;Custo;-3242,95
02700063;Despesa;-868,52
02700063;Resultado Financeiro;343,02
02700063;Provisão/Perda;-551,16
02700063;PPR;-143,81
02700063;IR/CSLL;-203,87
02700064;Receitas;4647,38
02700064;Impostos;-329,68
02700064;Custo;-3876,50
02700064;Despesa;-917,67
02700064;Resultado Financeiro;362,47
02700064;Provisão/Perda;-559,08
02700064;PPR;-148,35
02700064;IR/CSLL;0,00
02700070;Receitas;4728,19
02700070;Impostos;-335,41
02700070;Custo;-3253,07
02700070;Despesa;-883,33
02700070;Resultado Financeiro;348,91
02700070;Provisão/Perda;-538,45
02700070;PPR;-140,11
02700070;IR/CSLL;0,00
02700071;Receitas;4659,89
02700071;Impostos;-330,56
02700071;Custo;-1280,99
02700071;Despesa;-883,35
02700071;Resultado Financeiro;348,91
02700071;Provisão/Perda;-560,13
02700071;PPR;-140,60
02700071;IR/CSLL;-502,89
02700073;Receitas;3095,47
02700073;Impostos;-219,59
02700073;Custo;-3076,54
02700073;Despesa;-907,05
02700073;Resultado Financeiro;358,28
02700073;Provisão/Perda;-552,70
02700073;PPR;-144,85
02700073;IR/CSLL;0,00
02700077;Receitas;7649,44
02700077;Impostos;-542,64
02700077;Custo;-2843,06
02700077;Despesa;-882,68
02700077;Resultado Financeiro;348,62
02700077;Provisão/Perda;-559,67
02700077;PPR;-142,77
02700077;IR/CSLL;-839,61
02700079;Receitas;7273,04
02700079;Impostos;-515,94
02700079;Custo;-2769,61
02700079;Despesa;-884,66
02700079;Resultado Financeiro;349,40
02700079;Provisão/Perda;-560,86
02700079;PPR;-143,09
02700079;IR/CSLL;-762,24
02700080;Receitas;6534,43
02700080;Impostos;-463,54
02700080;Custo;-3486,45
02700080;Despesa;-881,87
02700080;Resultado Financeiro;348,26
02700080;Provisão/Perda;-537,45
02700080;PPR;-150,16
02700080;IR/CSLL;-378,09
02700082;Receitas;5084,23
02700082;Impostos;-360,67
02700082;Custo;-2564,71
02700082;Despesa;-893,59
02700082;Resultado Financeiro;352,88
02700082;Provisão/Perda;-544,50
02700082;PPR;-151,04
02700082;IR/CSLL;-255,89
02700083;Receitas;5692,62
02700083;Impostos;-403,82
02700083;Custo;-3332,38
02700083;Despesa;-885,04
02700083;Resultado Financeiro;349,40
02700083;Provisão/Perda;-560,86
02700083;PPR;-158,48
02700083;IR/CSLL;-194,54
02700084;Receitas;7051,40
02700084;Impostos;-500,21
02700084;Custo;-2173,46
02700084;Despesa;-884,66
02700084;Resultado Financeiro;349,40
02700084;Provisão/Perda;-560,86
02700084;PPR;-143,09
02700084;IR/CSLL;-870,47
02700085;Receitas;5656,57
02700085;Impostos;-401,27
02700085;Custo;-2794,09
02700085;Despesa;-911,75
02700085;Resultado Financeiro;360,06
02700085;Provisão/Perda;-577,08
02700085;PPR;-153,44
02700085;IR/CSLL;-327,00
02700089;Receitas;6786,16
02700089;Impostos;-481,40
02700089;Custo;-2923,58
02700089;Despesa;-882,10
02700089;Resultado Financeiro;348,38
02700089;Provisão/Perda;-559,32
02700089;PPR;-143,17
02700089;IR/CSLL;-594,92
02700093;Receitas;5576,22
02700093;Impostos;-395,57
02700093;Custo;-4072,70
02700093;Despesa;-893,74
02700093;Resultado Financeiro;352,98
02700093;Provisão/Perda;-566,32
02700093;PPR;-150,61
02700093;IR/CSLL;0,00
02700105;Receitas;4551,10
02700105;Impostos;-322,85
02700105;Custo;-996,97
02700105;Despesa;-773,67
02700105;Resultado Financeiro;305,59
02700105;Provisão/Perda;-494,22
02700105;PPR;-123,20
02700105;IR/CSLL;-595,14
02700108;Receitas;4844,89
02700108;Impostos;-343,69
02700108;Custo;-3747,68
02700108;Despesa;-876,16
02700108;Resultado Financeiro;345,96
02700108;Provisão/Perda;-555,64
02700108;PPR;-152,38
02700108;IR/CSLL;0,00
02700111;Receitas;5952,83
02700111;Impostos;-422,28
02700111;Custo;-3681,17
02700111;Despesa;-876,43
02700111;Resultado Financeiro;346,04
02700111;Provisão/Perda;-555,75
02700111;PPR;-152,40
02700111;IR/CSLL;-169,42
02700113;Receitas;11308,76
02700113;Impostos;-802,22
02700113;Custo;-6103,37
02700113;Despesa;-935,13
02700113;Resultado Financeiro;369,30
02700113;Provisão/Perda;-569,47
02700113;PPR;-159,45
02700113;IR/CSLL;-862,12
02700114;Receitas;4673,73
02700114;Impostos;-331,55
02700114;Custo;-1579,04
02700114;Despesa;-865,11
02700114;Resultado Financeiro;341,71
02700114;Provisão/Perda;-549,16
02700114;PPR;-137,22
02700114;IR/CSLL;-430,83
02700115;Receitas;8648,34
02700115;Impostos;-613,50
02700115;Custo;-4004,51
02700115;Despesa;-983,98
02700115;Resultado Financeiro;388,63
02700115;Provisão/Perda;-598,88
02700115;PPR;-163,94
02700115;IR/CSLL;-741,13
02700116;Receitas;7639,02
